first_name,last_name,email,phone,address,gender,age,registered,orders,spent,job,hobbies,is_married,FULL_NAME
Joseph,Rice,josephrice131@slingacademy.com,180004031356208,"91773 Miller Shoal
Diaztown, FL 38841",male,43,2019-05-05,7,568.29,Artist,Playing sports,False,Joseph Rice
Gary,Moore,garymoore386@slingacademy.com,22194541918872,"6450 John Lodge
Territon, KY 95945",male,71,2020-05-20,11,568.92,Artist,Swimming,True,Gary Moore
John,Walker,johnwalker944@slingacademy.com,38814248835370,"27265 Murray Island
Kevinfort, PA 63231",male,44,2020-04-04,11,497.12,Clerk,Painting,False,John Walker
Eric,Carter,ericcarter176@slingacademy.com,4512595402,"USNS Knight
FPO AA 76532",male,38,2019-01-30,17,834.6,Butcher,Playing musical instruments,False,Eric Carter
William,Jackson,williamjackson427@slingacademy.com,6256269133374,"170 Jackson Loaf
Kristenland, AS 48876",male,58,2022-07-01,14,151.59,Engineer,Reading,False,William Jackson
Nicole,Jones,nicolejones228@slingacademy.com,1783534757,"14354 Baker Harbor Apt. 017
Ericville, HI 11192",female,33,2021-08-07,19,33.17,Unemployed,Running,True,Nicole Jones
David,Davis,daviddavis980@slingacademy.com,0674358553692,"021 Katherine Mall
Jameston, DC 24685",male,59,2022-06-16,9,970.96,Doctor,Playing sports,False,David Davis
Jason,Montgomery,jasonmontgomery889@slingacademy.com,0012082201519,"14657 Scott Loop Apt. 735
Port Ashley, NH 34470",male,58,2021-11-13,12,676.2,Waitress,Collecting,False,Jason Montgomery
Kent,Weaver,kentweaver695@slingacademy.com,0001016979011,"6644 Mitchell Burg
Victorhaven, KS 66356",male,61,2023-06-11,1,674.37,Clerk,Hiking,False,Kent Weaver
Darrell,Dillon,darrelldillon573@slingacademy.com,156423060052870,"PSC 7267, Box 9911
APO AE 49343",male,50,2022-09-13,12,750.72,Dentist,Watching movies,False,Darrell Dillon
Jacqueline,Wang,jacquelinewang322@slingacademy.com,6915576502,"16963 Stewart Curve Suite 279
South Cameron, ND 25136",female,22,2023-02-08,12,962.47,Housewife,Collecting,False,Jacqueline Wang
Jodi,Gonzalez,jodigonzalez185@slingacademy.com,1372057066,"378 Johnson Oval
South Stacie, RI 76332",female,69,2021-06-25,12,68.67,Baker,Photography,False,Jodi Gonzalez
Omar,Martin,omarmartin769@slingacademy.com,0199081228,"Unit 9103 Box 4771
DPO AA 16592",male,28,2023-05-28,3,162.58,Doctor,Gardening,True,Omar Martin
Nicole,Lara,nicolelara473@slingacademy.com,1601397065,"9822 Lisa Courts
Johnhaven, IL 80438",female,77,2023-03-03,17,309.81,Janitor,Hiking,True,Nicole Lara
Jason,Brown,jasonbrown753@slingacademy.com,1449094110503038,"7310 Romero Summit
East Scotttown, DC 53183",male,63,2022-12-05,13,763.27,Lawyer,Fishing,True,Jason Brown
David,Benson,davidbenson257@slingacademy.com,3037692300,"444 Derek Summit
Lisaborough, WA 20685",male,61,2022-04-15,17,111.11,Lawyer,Meditation,True,David Benson
Kimberly,Mora,kimberlymora513@slingacademy.com,0178967409,"7679 Perry Square
West Amybury, RI 15144",female,34,2019-05-19,10,208.46,Farmer,Collecting,False,Kimberly Mora
Erik,Macias,erikmacias904@slingacademy.com,13536725269925,"568 Christopher Tunnel
Toddburgh, DE 86966",male,25,2020-04-18,8,439.53,Accountant,Fishing,False,Erik Macias
James,Johnson,jamesjohnson681@slingacademy.com,3037908926,"19870 Sean Parkway
North Jamesfurt, NC 28950",male,67,2019-02-17,5,394.95,Security Guard,Watching movies,False,James Johnson
Derek,Peterson,derekpeterson324@slingacademy.com,8645697197,"70830 Jonathan Pine
Wilcoxburgh, MI 38265",male,36,2020-12-15,2,153.8,Architect,Photography,True,Derek Peterson
Diane,Henson,dianehenson438@slingacademy.com,8448559308,"86382 Baker Ports Apt. 074
Cookfurt, NM 54313",female,74,2020-03-21,19,62.52,Butcher,Playing musical instruments,False,Diane Henson
Cody,Lyons,codylyons721@slingacademy.com,2716608219,"60971 Carrillo Square Suite 141
New Kimberlybury, AS 02128",male,47,2019-11-25,14,43.17,Baker,Hunting,False,Cody Lyons
Margaret,Hardy,margarethardy249@slingacademy.com,43497083620269,"2900 Sandra Villages Apt. 985
Phillipsstad, NH 19830",female,25,2021-07-17,9,455.27,Barber,Other,False,Margaret Hardy
Arthur,Hayes,arthurhayes881@slingacademy.com,88363530655605,"353 Elizabeth Forest
Deannachester, NM 66952",male,75,2021-04-01,6,749.78,Chef,Sewing,False,Arthur Hayes
